Timestamp(ms),Current(uA),D0-D7
8.71,8213.727,00000000
8.72,8213.727,00000000
8.73,8168.581,00000000
8.74,8078.331,00000000
8.75,7852.957,00000000
8.76,7852.957,00000000
8.77,8033.228,00000000
8.78,7988.138,00000000
8.79,8033.228,00000000
8.8,8033.228,00000000
8.81,7988.138,00000000
8.82,8033.228,00000000
8.83,8033.228,00000000
8.84,8123.449,00000000
8.85,8123.449,00000000
8.86,8168.581,00000000
8.87,8213.727,00000000
8.88,8123.449,00000000
8.89,7988.138,00000000
8.9,8078.331,00000000
8.91,8078.331,00000000
8.92,8123.449,00000000
8.93,8078.331,00000000
8.94,8168.581,00000000
8.95,7852.957,00000000
8.96,8168.581,00000000
8.97,8078.331,00000000
8.98,8168.581,00000000
8.99,8033.228,00000000
9,8078.331,00000000
9.01,8123.449,00000000
9.02,7898.003,00000000
9.03,7988.138,00000000
9.04,7988.138,00000000
9.05,8304.062,00000000
9.06,8213.727,00000000
9.07,7988.138,00000000
9.08,8213.727,00000000
9.09,8078.331,00000000
9.1,8078.331,00000000
9.11,8078.331,00000000
9.12,8213.727,00000000
9.13,8078.331,00000000
9.14,8033.228,00000000
9.15,8033.228,00000000
9.16,8168.581,00000000
9.17,8168.581,00000000
9.18,7988.138,00000000
9.19,8123.449,00000000
9.2,8033.228,00000000
9.21,8033.228,00000000
9.22,8123.449,00000000
9.23,8213.727,00000000
9.24,8168.581,00000000
9.25,8213.727,00000000
9.26,7988.138,00000000
9.27,8078.331,00000000
9.28,7988.138,00000000
9.29,8123.449,00000000
9.3,8078.331,00000000
9.31,8078.331,00000000
9.32,7988.138,00000000
9.33,7807.925,00000000
9.34,8078.331,00000000
9.35,8213.727,00000000
9.36,8078.331,00000000
9.37,8168.581,00000000
9.38,7988.138,00000000
9.39,8213.727,00000000
9.4,8439.672,00000000
9.41,8756.595,00000000
9.42,7627.939,00000000
9.43,7852.957,00000000
9.44,7852.957,00000000
9.45,7988.138,00000000
9.46,7988.138,00000000
9.47,7898.003,00000000
9.48,8213.727,00000000
9.49,8168.581,00000000
9.5,8123.449,00000000
9.51,8123.449,00000000
9.52,8123.449,00000000
9.53,8123.449,00000000
9.54,8123.449,00000000
9.55,7988.138,00000000
9.56,8078.331,00000000
9.57,7988.138,00000000
9.58,8078.331,00000000
9.59,8078.331,00000000
9.6,8168.581,00000000
9.61,7988.138,00000000
9.62,8168.581,00000000
9.63,8168.581,00000000
9.64,8123.449,00000000
9.65,8123.449,00000000
9.66,7898.003,00000000
9.67,8123.449,00000000
9.68,8123.449,00000000
9.69,7988.138,00000000
9.7,8078.331,00000000
9.71,8304.062,00000000
9.72,8123.449,00000000
9.73,8078.331,00000000
9.74,8033.228,00000000
9.75,8033.228,00000000
9.76,8304.062,00000000
9.77,7988.138,00000000
9.78,8213.727,00000000
9.79,8304.062,00000000
9.8,8123.449,00000000
9.81,8123.449,00000000
9.82,8033.228,00000000
9.83,8078.331,00000000
9.84,8123.449,00000000
9.85,7988.138,00000000
9.86,8213.727,00000000
9.87,8078.331,00000000
9.88,7988.138,00000000
9.89,8123.449,00000000
9.9,8304.062,00000000
9.91,8078.331,00000000
9.92,8078.331,00000000
9.93,8033.228,00000000
9.94,7943.063,00000000
9.95,7988.138,00000000
9.96,8168.581,00000000
9.97,8168.581,00000000
9.98,8258.887,00000000
9.99,8213.727,00000000
10,8123.449,00000000
10.01,8304.062,00000000
10.02,8394.454,00000000
10.03,8394.454,00000000
10.04,8168.581,00000000
10.05,8349.251,00000000
10.06,8213.727,00000000
10.07,8439.672,00000000
10.08,8304.062,00000000
10.09,8349.251,00000000
10.1,8304.062,00000000
10.11,8213.727,00000000
10.12,8304.062,00000000
