Timestamp(ms),Current(uA),D0-D7
9.2,5840.646,00000000
9.21,5929.469,00000000
9.22,5840.646,00000000
9.23,6018.348,00000000
9.24,5840.646,00000000
9.25,6151.774,00000000
9.26,5973.901,00000000
9.27,5973.901,00000000
9.28,6062.809,00000000
9.29,5840.646,00000000
9.3,6018.348,00000000
9.31,5751.881,00000000
9.32,6062.809,00000000
9.33,5885.050,00000000
9.34,6107.285,00000000
9.35,5840.646,00000000
9.36,6018.348,00000000
9.37,5840.646,00000000
9.38,6062.809,00000000
9.39,6018.348,00000000
9.4,6062.809,00000000
9.41,6062.809,00000000
9.42,6062.809,00000000
9.43,5929.469,00000000
9.44,5885.050,00000000
9.45,6151.774,00000000
9.46,5840.646,00000000
9.47,6062.809,00000000
9.48,5929.469,00000000
9.49,6062.809,00000000
9.5,5929.469,00000000
9.51,6018.348,00000000
9.52,6018.348,00000000
9.53,5796.257,00000000
9.54,5973.901,00000000
9.55,5796.257,00000000
9.56,6107.285,00000000
9.57,5840.646,00000000
9.58,5929.469,00000000
9.59,6018.348,00000000
9.6,6018.348,00000000
9.61,6018.348,00000000
9.62,6018.348,00000000
9.63,5973.901,00000000
9.64,5885.050,00000000
9.65,5929.469,00000000
9.66,5840.646,00000000
9.67,6018.348,00000000
9.68,6151.774,00000000
9.69,6642.102,00000000
9.7,5929.469,00000000
9.71,5618.841,00000000
9.72,5618.841,00000000
9.73,5929.469,00000000
9.74,5840.646,00000000
9.75,5929.469,00000000
9.76,6062.809,00000000
9.77,6062.809,00000000
9.78,6062.809,00000000
9.79,5973.901,00000000
9.8,6018.348,00000000
9.81,5929.469,00000000
9.82,6151.774,00000000
9.83,5973.901,00000000
9.84,6196.278,00000000
9.85,6151.774,00000000
9.86,6062.809,00000000
9.87,6062.809,00000000
9.88,5929.469,00000000
9.89,5973.901,00000000
9.9,5973.901,00000000
9.91,6107.285,00000000
9.92,5973.901,00000000
9.93,6018.348,00000000
9.94,5885.050,00000000
9.95,6018.348,00000000
9.96,6062.809,00000000
9.97,6062.809,00000000
9.98,6018.348,00000000
9.99,6240.796,00000000
10,5929.469,00000000
10.01,5929.469,00000000
10.02,5973.901,00000000
10.03,5796.257,00000000
10.04,6062.809,00000000
10.05,5796.257,00000000
10.06,6062.809,00000000
10.07,6062.809,00000000
10.08,5973.901,00000000
10.09,6018.348,00000000
10.1,6018.348,00000000
10.11,6107.285,00000000
10.12,6018.348,00000000
10.13,6018.348,00000000
10.14,5973.901,00000000
10.15,6062.809,00000000
10.16,5929.469,00000000
10.17,5929.469,00000000
10.18,6018.348,00000000
10.19,6018.348,00000000
10.2,5973.901,00000000
10.21,5973.901,00000000
10.22,6018.348,00000000
10.23,6062.809,00000000
10.24,5929.469,00000000
10.25,5840.646,00000000
10.26,5973.901,00000000
10.27,5840.646,00000000
10.28,6018.348,00000000
10.29,6240.796,00000000
10.3,6151.774,00000000
10.31,6196.278,00000000
10.32,5929.469,00000000
10.33,6062.809,00000000
10.34,6151.774,00000000
10.35,6062.809,00000000
10.36,6062.809,00000000
10.37,6062.809,00000000
10.38,6062.809,00000000
10.39,5973.901,00000000
10.4,5840.646,00000000
10.41,6062.809,00000000
10.42,6285.329,00000000
10.43,6018.348,00000000
10.44,6062.809,00000000
10.45,6062.809,00000000
10.46,6107.285,00000000
10.47,5751.881,00000000
10.48,6107.285,00000000
10.49,5751.881,00000000
10.5,6062.809,00000000
10.51,6018.348,00000000
10.52,6107.285,00000000
10.53,6062.809,00000000
10.54,6107.285,00000000
10.55,5973.901,00000000
10.56,5929.469,00000000
10.57,6196.278,00000000
10.58,6018.348,00000000
10.59,6240.796,00000000
10.6,5840.646,00000000
10.61,5973.901,00000000
10.62,6062.809,00000000
10.63,6151.774,00000000
10.64,6018.348,00000000
10.65,5885.050,00000000
10.66,6062.809,00000000
